,Swing Type,MinWX,MaxWX,MinWY,MaxWY,MinWZ,MaxWZ,MinAX,MaxAX,MinAY,MaxAY,MinAZ,MaxAZ
12,0,-1995.2393,1886.1084,-1965.5151,1997.6807,-1998.9014,1270.9351,-15.7754,15.3091,-15.9976,0.8237,-15.3999,15.688
13,0,-1994.4458,1938.2935,-1900.0244,1997.6196,-1998.7183,1818.9697,-15.7822,15.4556,-15.9761,1.311,-14.2529,15.23
14,0,-1995.2393,1650.8179,-1623.7183,1997.6807,-1998.9014,1775.4517,-15.5874,15.3584,-15.9907,0.7544,-15.7593,14.5264
15,0,-1994.5068,1995.4224,-1818.5425,1997.6807,-1998.7183,1887.085,-15.1465,15.6226,-15.9517,1.0254,-14.2793,15.4102
16,0,-1993.8965,1737.4878,-1585.8154,1997.8027,-1998.6572,1362.6099,-15.9302,15.9346,-15.9849,1.0342,-15.3164,15.4961
17,0,-15.8081,47.8516,-18.1274,20.752,-148.1934,44.4946,-1.7617,-1.1455,-0.6074,0.6094,-0.2036,0.3071
18,0,-1993.8354,1900.1465,-1909.9121,1997.8027,-1998.6572,1921.2646,-15.6738,15.4839,-15.9756,1.0522,-15.8828,12.9956
19,0,-1995.2393,1899.1699,-1684.8755,1997.6807,-1998.9014,1340.9424,-15.0801,15.8848,-15.9956,0.9453,-15.6479,15.9614
20,0,-1995.2393,1863.7695,-1706.7871,1997.6807,-1998.9014,1234.9243,-15.335,15.7651,-15.9829,1.0889,-15.7651,15.189
21,0,-1995.2393,1577.3926,-1672.8516,1997.6807,-1998.9014,1642.6392,-15.5771,15.3613,-15.9868,0.9321,-15.3833,15.9902
22,0,-1995.2393,1650.0244,-1573.5474,1997.6807,-1998.9014,1563.7207,-13.7207,15.8496,-15.9888,1.0835,-15.0444,15.8232
23,0,-1995.2393,1957.5195,-1471.3135,1997.6807,-1998.9014,1673.9502,-13.2642,15.9697,-15.9922,0.8823,-15.9204,15.147
24,0,-1993.8354,1800.415,-1994.1406,1997.8027,-1998.6572,1888.7329,-15.5698,15.5112,-15.9736,0.6514,-15.9473,13.5884
25,0,-1993.8354,1623.4741,-1500.6714,1997.8027,-1998.6572,1362.0605,-15.9814,15.4033,-15.978,1.3359,-15.4155,15.7671
26,0,-1995.2393,1776.4893,-1870.8496,1997.6807,-1998.9014,1612.7319,-15.0986,15.4873,-15.9917,0.7549,-15.3779,15.771
27,0,-1993.8965,1896.7285,-1753.0518,1997.8027,-1998.6572,1807.251,-15.1372,15.625,-15.98,0.6973,-14.9531,15.4004
28,0,-1995.2393,1973.2666,-1490.6006,1997.6807,-1998.9014,1564.0869,-15.2803,15.4395,-15.9927,0.9106,-15.374,15.7861
29,0,-1995.2393,1525.8179,-1437.3779,1997.6807,-1998.9014,1245.9106,-16.0,15.7188,-15.9863,0.7729,-15.7329,15.332
30,0,-1995.2393,1925.8423,-1512.9395,1997.6807,-1998.9014,1599.4263,-14.5303,15.6367,-15.9941,0.9663,-15.6689,15.458
31,0,-1995.2393,1969.2383,-1861.9385,1997.6807,-1998.9014,1941.5894,-14.8462,15.5532,-15.9976,0.8179,-15.5938,15.3691
32,0,-1995.2393,1725.8301,-1844.2993,1997.6807,-1998.9014,1761.4136,-14.9419,15.5283,-15.9956,0.8218,-15.7974,14.1802
33,0,-1995.2393,1853.5767,-1599.4263,1997.6807,-1998.9014,1904.7852,-14.4492,15.6577,-15.9946,0.9546,-15.3657,15.9277
34,0,-1993.8354,1898.4375,-1937.1948,1997.8027,-1998.6572,1498.8403,-14.8428,15.7026,-15.9858,0.7881,-15.7891,14.1743
35,0,-1995.2393,1974.7314,-1776.4282,1997.6807,-1998.9014,1661.438,-13.3511,15.9468,-15.9985,0.7539,-15.0459,15.9141
36,0,-1993.8354,1997.1924,-1742.9199,1997.8027,-1998.6572,1565.7959,-15.189,15.6113,-15.9839,1.0317,-15.0596,14.9419
37,0,-1995.2393,1888.6719,-1956.3599,1997.6807,-1998.9014,1236.6943,-15.876,15.2827,-15.998,0.9136,-15.4346,15.5552
38,0,-1995.2393,1957.0923,-1741.8823,1997.6807,-1998.9014,1330.8105,-14.9521,15.8774,-15.9966,1.0078,-15.4844,15.6738
39,0,-1995.2393,1784.668,-1908.0811,1997.6807,-1998.9014,1712.0972,-15.769,15.5737,-15.9961,0.9448,-15.9688,14.7627
40,0,-1993.8354,1948.4253,-1691.7114,1997.8027,-1998.6572,1529.0527,-14.5645,15.7759,-15.9771,0.9448,-15.436,14.9004
41,0,-1995.2393,1829.4067,-1953.3081,1997.6807,-1998.9014,1917.7246,-15.8198,15.2974,-15.9863,0.748,-15.7939,14.2998
